
Host: skystd34.palmetto.clemson.edu

Timers On : Sat Dec 11 17:32:44 2021
Timers Off: Sat Dec 11 17:51:25 2021

Wall Time:     1120.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.100u      0.017s      4.895w     18 calls
Libint2ERI::Libint2ERI              :     22.883u      0.017s     13.754w    153 calls
JK: (A|mn)                          :    106.200u      0.000s     63.950w     27 calls
JK: (A|Q)^-1/2                      :     11.167u      0.050s      6.754w      9 calls
JK: (Q|mn)                          :     50.450u      0.017s     30.392w     27 calls
HF: Form core H                     :      5.017u      0.000s      3.027w      9 calls
HF: Form S/X                        :      0.167u      0.000s      0.110w      9 calls
HF: Guess                           :      0.117u      0.000s      0.070w      9 calls
SAD Guess                           :      0.100u      0.000s      0.064w      1 calls
HF: Form G                          :    215.567u      4.867s    132.798w    147 calls
JK: D                               :      0.100u      0.000s      0.084w    297 calls
JK: USO2AO                          :      0.017u      0.000s      0.044w    297 calls
JK: JK                              :    707.667u     45.017s    453.713w    297 calls
JK: J                               :     31.217u      0.067s     18.845w    612 calls
JK: J1                              :     15.617u      0.000s      9.213w    666 calls
JK: J2                              :     15.350u      0.017s      9.423w    666 calls
JK: K                               :    670.783u      0.200s    404.269w    612 calls
JK: K1                              :    573.333u      0.117s    345.540w    930 calls
JK: K2                              :     97.350u      0.083s     58.660w    666 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    297 calls
HF: Form F                          :      0.083u      0.000s      0.041w    147 calls
HF: Form D                          :      0.067u      0.000s      0.031w    147 calls
HF: DIIS                            :      1.117u      0.450s      0.970w    146 calls
DIISManager::add_entry              :      0.083u      0.033s      0.090w    138 calls
DIISManager::extrapolate            :      0.250u      0.367s      0.352w    138 calls
bMatrix setup                       :      0.133u      0.167s      0.176w    138 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.012w    138 calls
New vector                          :      0.117u      0.200s      0.163w    138 calls
HF: Form C                          :      2.583u      0.017s      1.590w    146 calls
DFMP2 Singles                       :      0.000u      0.000s      0.012w      9 calls
DFMP2 Aia                           :     60.233u      2.250s     38.308w      9 calls
DFMP2 (A|mn)                        :     52.867u      0.017s     31.792w     18 calls
DFMP2 (A|mn)C_mi                    :      2.450u      0.000s      1.481w     18 calls
DFMP2 (A|mi)C_na                    :      1.617u      0.000s      0.981w     18 calls
DFMP2 Aia Write                     :      0.033u      0.517s      0.314w     18 calls
DFMP2 iaB                           :     13.567u      2.600s      9.772w      9 calls
DFMP2 Metric                        :      4.817u      0.000s      2.937w      9 calls
DFMP2 Aia Read                      :      0.017u      0.317s      0.209w      9 calls
DFMP2 (ia|A)(A|Q)                   :      4.317u      0.017s      2.594w      9 calls
DFMP2 Bia Write                     :      0.017u      0.467s      0.298w      9 calls
DFMP2 Bia Read                      :      0.367u      1.300s      0.945w    117 calls
DFMP2 (ia|B)(B|Q)                   :      4.133u      0.000s      2.495w      9 calls
DFMP2 Cia Write                     :      0.000u      0.483s      0.307w      9 calls
DFMP2 aiB                           :      0.200u      1.150s      0.821w      9 calls
DFMP2 Tij                           :    123.833u      3.633s     76.767w      9 calls
DFMP2 Cia Read                      :      0.033u      1.283s      0.791w     90 calls
DFMP2 I                             :     93.300u      0.050s     56.213w    162 calls
DFMP2 T2                            :     24.133u      0.000s     14.551w    162 calls
DFMP2 G                             :     47.050u      0.000s     28.353w     81 calls
DFMP2 Pab                           :     15.817u      0.000s      9.551w     81 calls
DFMP2 Gia Write                     :      0.017u      0.533s      0.321w     27 calls
