
Host: skystd41.palmetto.clemson.edu

Timers On : Tue Nov 30 17:03:00 2021
Timers Off: Sat Dec  4 19:11:31 2021

Wall Time:   353310.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :   1308.883u      8.950s    793.683w   2000 calls
Libint2ERI::Libint2ERI              :   2925.583u     19.383s   1773.340w  15000 calls
DFH: initialize()                   :  67140.550u   2704.033s  42058.519w   2000 calls
DFH: AO Construction                :  28718.833u    863.867s  17809.163w   2000 calls
DFH: AO-Met. Contraction            :  34986.133u   1749.600s  22125.049w   2000 calls
HF: Form core H                     :   1154.550u      2.783s    698.524w   1000 calls
HF: Form S/X                        :    129.567u      1.783s     79.072w   1000 calls
HF: Guess                           :      2.300u      0.050s      1.394w   1000 calls
SAD Guess                           :      0.083u      0.000s      0.057w      1 calls
HF: Form G                          :  31969.567u   1083.200s  19903.121w  13699 calls
JK: D                               :     55.933u      1.117s     33.914w  29972 calls
JK: USO2AO                          :     37.700u      1.033s     23.334w  29972 calls
JK: JK                              : 129490.583u   4789.067s  80861.996w  29972 calls
DFH: compute_JK()                   : 129490.317u   4789.000s  80861.805w  29972 calls
DFH: Grabbing AOs                   :      0.167u      0.017s      0.065w  29972 calls
DFH: compute_J                      :  17407.800u     86.750s  10533.640w  29972 calls
DFH: compute_K                      : 110871.533u     62.883s  66808.685w  29972 calls
JK: AO2USO                          :      0.050u      0.033s      0.047w  29972 calls
HF: Form F                          :     24.250u      0.350s     15.519w  13699 calls
HF: Form D                          :     17.100u      0.467s     11.068w  13699 calls
HF: DIIS                            :    652.350u    151.367s    485.321w  13698 calls
DIISManager::add_entry              :     30.217u     23.367s     33.581w  12699 calls
DIISManager::extrapolate            :    101.150u    121.783s    133.636w  12699 calls
bMatrix setup                       :     47.067u     69.667s     69.774w  12699 calls
bMatrix pseudoinverse               :      1.483u      0.183s      0.990w  12699 calls
New vector                          :     52.417u     51.900s     62.745w  12699 calls
HF: Form C                          :   1657.983u     20.767s   1011.428w  13698 calls
DFMP2 Singles                       :     10.200u      0.167s      6.258w   1000 calls
DFMP2 Aia                           :  21251.617u   1516.950s  13920.993w   1000 calls
DFMP2 (A|mn)                        :  17490.383u      5.600s  10530.064w   1000 calls
DFMP2 (A|mn)C_mi                    :   1237.783u      1.933s    746.568w   1000 calls
DFMP2 (A|mi)C_na                    :   1139.217u      0.483s    686.358w   1000 calls
DFMP2 Aia Write                     :      7.483u    145.733s     92.393w   1000 calls
DFMP2 iaB                           :   5318.650u    843.333s   3715.610w   1000 calls
DFMP2 Metric                        :   1440.883u     16.083s    878.505w   1000 calls
DFMP2 Aia Read                      :      3.967u    102.733s     64.472w   1000 calls
DFMP2 (ia|A)(A|Q)                   :   1915.250u      4.983s   1156.202w   1000 calls
