
Host: skystd25.palmetto.clemson.edu

Timers On : Fri Nov 26 01:01:33 2021
Timers Off: Sat Nov 27 01:20:11 2021

Wall Time:    87517.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    300.467u      0.317s    181.255w    412 calls
Libint2ERI::Libint2ERI              :    670.117u      0.617s    403.952w   3090 calls
DFH: initialize()                   :  15476.800u    634.917s   9700.456w    412 calls
DFH: AO Construction                :   6503.800u    201.867s   4036.238w    412 calls
DFH: AO-Met. Contraction            :   8154.333u    409.700s   5157.239w    412 calls
HF: Form core H                     :    267.383u      0.433s    161.318w    206 calls
HF: Form S/X                        :     30.283u      0.100s     18.191w    206 calls
HF: Guess                           :     21.583u      0.167s     13.182w    206 calls
SAD Guess                           :     20.567u      0.150s     12.482w    164 calls
HF: Form G                          :  10279.233u    373.100s   6413.040w   3789 calls
JK: D                               :     13.950u      0.267s      8.775w   7087 calls
JK: USO2AO                          :      9.433u      0.650s      6.326w   7087 calls
JK: JK                              :  32862.350u   1281.883s  20556.652w   7087 calls
DFH: compute_JK()                   :  32862.300u   1281.883s  20556.616w   7087 calls
DFH: Grabbing AOs                   :      0.067u      0.000s      0.013w   7087 calls
DFH: compute_J                      :   4255.867u      1.483s   2563.018w   7087 calls
DFH: compute_K                      :  28317.867u      2.500s  17051.094w   7087 calls
JK: AO2USO                          :      0.000u      0.017s      0.008w   7087 calls
HF: Form F                          :      7.067u      0.117s      4.415w   3789 calls
HF: Form D                          :      6.283u      0.100s      3.428w   3789 calls
HF: DIIS                            :    186.033u     63.567s    150.011w   3625 calls
DIISManager::add_entry              :      5.933u      9.983s      9.868w   3583 calls
DIISManager::extrapolate            :     27.933u     53.067s     48.101w   3583 calls
bMatrix setup                       :     10.750u     31.600s     25.564w   3583 calls
bMatrix pseudoinverse               :      0.550u      0.033s      0.246w   3583 calls
New vector                          :     16.567u     21.433s     22.258w   3583 calls
HF: Form C                          :    496.333u      0.633s    299.659w   3625 calls
DFMP2 Singles                       :      2.050u      0.000s      1.307w    206 calls
DFMP2 Aia                           :   4941.550u    338.283s   3188.407w    206 calls
