
Host: skystd28.palmetto.clemson.edu

Timers On : Fri Nov 26 01:32:48 2021
Timers Off: Sat Nov 27 14:16:52 2021

Wall Time:   132243.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    383.467u      0.383s    231.108w    444 calls
Libint2ERI::Libint2ERI              :    853.683u      0.717s    514.520w   3330 calls
DFH: initialize()                   :  21659.050u    832.917s  13541.294w    444 calls
DFH: AO Construction                :   8778.267u    264.550s   5442.573w    444 calls
DFH: AO-Met. Contraction            :  11680.233u    537.883s   7357.634w    444 calls
HF: Form core H                     :    382.850u      0.383s    230.815w    222 calls
HF: Form S/X                        :     42.600u      0.033s     25.787w    222 calls
HF: Guess                           :     25.567u      0.317s     15.464w    222 calls
SAD Guess                           :     24.017u      0.283s     14.589w    182 calls
HF: Form G                          :  15757.250u    521.067s   9799.563w   4089 calls
JK: D                               :     21.517u      0.350s     13.168w   7649 calls
JK: USO2AO                          :     12.900u      0.917s      8.304w   7649 calls
JK: JK                              :  50112.783u   1788.750s  31246.298w   7649 calls
DFH: compute_JK()                   :  50112.650u   1788.750s  31246.250w   7649 calls
DFH: Grabbing AOs                   :      0.050u      0.000s      0.015w   7649 calls
DFH: compute_J                      :   5707.467u      4.417s   3437.820w   7649 calls
DFH: compute_K                      :  44001.317u      5.650s  26494.047w   7649 calls
JK: AO2USO                          :      0.017u      0.017s      0.009w   7649 calls
HF: Form F                          :      9.383u      0.300s      5.857w   4089 calls
HF: Form D                          :      8.533u      0.117s      5.159w   4089 calls
HF: DIIS                            :    260.033u     82.367s    205.703w   3907 calls
DIISManager::add_entry              :      8.150u     13.417s     12.945w   3867 calls
DIISManager::extrapolate            :     36.100u     68.367s     62.824w   3867 calls
bMatrix setup                       :     13.533u     41.383s     33.402w   3867 calls
bMatrix pseudoinverse               :      0.500u      0.033s      0.300w   3867 calls
New vector                          :     21.983u     26.950s     29.085w   3867 calls
HF: Form C                          :    699.900u      1.050s    422.042w   3907 calls
DFMP2 Singles                       :      3.050u      0.050s      1.793w    222 calls
DFMP2 Aia                           :   7197.633u    471.600s   4623.203w    222 calls
DFMP2 (A|mn)                        :   5825.217u      0.967s   3505.905w    222 calls
DFMP2 (A|mn)C_mi                    :    496.433u      1.417s    299.738w    222 calls
DFMP2 (A|mi)C_na                    :    418.967u      0.200s    252.418w    222 calls
DFMP2 Aia Write                     :      0.767u     51.233s     31.182w    222 calls
DFMP2 iaB                           :   2003.033u    274.133s   1371.389w    222 calls
DFMP2 Metric                        :    493.167u      2.933s    298.770w    222 calls
DFMP2 Aia Read                      :      0.950u     34.317s     21.226w    222 calls
DFMP2 (ia|A)(A|Q)                   :    747.267u      0.100s    449.912w    222 calls
DFMP2 Bia Write                     :      0.717u     50.383s     30.774w    222 calls
DFMP2 Bia Read                      :     30.533u     67.133s     58.873w    666 calls
DFMP2 (ia|B)(B|Q)                   :    737.300u      0.133s    443.863w    222 calls
