
Host: skystd36.palmetto.clemson.edu

Timers On : Sat Dec 11 17:48:05 2021
Timers Off: Sat Dec 11 20:08:53 2021

Wall Time:     8448.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     19.433u      0.050s     11.773w     22 calls
Libint2ERI::Libint2ERI              :     54.283u      0.067s     32.728w    187 calls
JK: (A|Q)^-1                        :     49.933u     30.000s     32.344w     22 calls
JK: (A|mn)                          :    459.267u      0.000s    276.459w    154 calls
JK: (Q|mn)                          :    448.167u      0.000s    269.942w    154 calls
JK: (Q|mn) Write                    :      0.833u     25.650s     15.896w    154 calls
HF: Form core H                     :     17.883u      0.033s     10.960w     11 calls
HF: Form S/X                        :      2.133u      0.100s      1.326w     11 calls
HF: Guess                           :      0.233u      0.017s      0.106w     11 calls
SAD Guess                           :      0.133u      0.017s      0.084w      1 calls
HF: Form G                          :   1402.567u    140.817s    929.494w    165 calls
JK: D                               :      0.933u      0.000s      0.619w    351 calls
JK: USO2AO                          :      0.617u      0.067s      0.381w    351 calls
JK: JK                              :   5905.433u    342.233s   3762.223w    351 calls
JK: (Q|mn) Read                     :      5.433u    304.333s    186.628w   3206 calls
JK: J                               :    231.033u      0.400s    139.074w   3206 calls
JK: J1                              :    108.667u      0.017s     65.421w   3616 calls
JK: J2                              :    110.033u      0.033s     66.151w   3616 calls
JK: K                               :   5659.500u      0.517s   3408.169w   3206 calls
JK: K1                              :   4778.433u      0.433s   2877.234w   5256 calls
JK: K2                              :    878.583u      0.033s    529.255w   3616 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    351 calls
HF: Form F                          :      0.350u      0.000s      0.233w    165 calls
HF: Form D                          :      0.367u      0.000s      0.219w    165 calls
HF: DIIS                            :     10.650u      2.817s      8.119w    164 calls
DIISManager::add_entry              :      0.317u      0.600s      0.511w    154 calls
DIISManager::extrapolate            :      1.383u      2.200s      2.223w    154 calls
bMatrix setup                       :      0.467u      1.417s      1.178w    154 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.011w    154 calls
New vector                          :      0.917u      0.783s      1.033w    154 calls
HF: Form C                          :     29.383u      0.017s     17.701w    164 calls
DFMP2 Singles                       :      0.150u      0.000s      0.094w     11 calls
DFMP2 Aia                           :    344.783u      6.283s    212.689w     11 calls
DFMP2 (A|mn)                        :    281.300u      0.000s    169.271w    154 calls
DFMP2 (A|mn)C_mi                    :     24.550u      0.000s     14.820w    154 calls
DFMP2 (A|mi)C_na                    :     21.117u      0.000s     12.662w    154 calls
DFMP2 Aia Write                     :      0.067u      2.617s      1.611w    154 calls
DFMP2 iaB                           :     96.433u     11.100s     64.801w     11 calls
DFMP2 Metric                        :     23.783u      0.017s     14.383w     11 calls
DFMP2 Aia Read                      :      0.117u      1.667s      1.026w     22 calls
DFMP2 (ia|A)(A|Q)                   :     35.983u      0.000s     21.688w     22 calls
DFMP2 Bia Write                     :      0.067u      2.367s      1.442w     22 calls
DFMP2 Bia Read                      :      1.700u     15.583s     10.574w   1012 calls
DFMP2 (ia|B)(B|Q)                   :     35.883u      0.000s     21.572w     22 calls
DFMP2 Cia Write                     :      0.017u      2.667s      1.621w     22 calls
DFMP2 aiB                           :      0.733u      5.700s      3.911w     11 calls
DFMP2 Tij                           :   1718.750u     32.667s   1054.454w     11 calls
DFMP2 Cia Read                      :      0.450u     15.883s      9.727w    913 calls
DFMP2 I                             :   1334.767u      0.467s    803.846w   1430 calls
DFMP2 T2                            :    191.700u      0.017s    115.245w   1430 calls
DFMP2 G                             :    666.433u      0.017s    401.201w    891 calls
DFMP2 Pab                           :    279.817u      0.000s    168.664w    891 calls
DFMP2 Gia Write                     :      0.000u      2.817s      1.714w     99 calls
DFMP2 Tab                           :    819.600u     12.483s    501.019w     11 calls
DFMP2 Bai Read                      :      0.067u      1.633s      0.989w     77 calls
DFMP2 Qai Read                      :      1.800u      9.400s      6.705w    539 calls
DFMP2 Pij                           :     50.667u      0.017s     30.552w    539 calls
DFMP2 gamma                         :     36.100u      4.717s     24.601w     11 calls
DFMP2 Gia Read                      :      0.050u      3.250s      1.987w     33 calls
DFMP2 g                             :     35.633u      0.000s     21.513w     22 calls
DFMP2 Gia                           :      5.150u      8.550s      8.253w     11 calls
