
Host: skystd18.palmetto.clemson.edu

Timers On : Fri Nov 26 00:14:28 2021
Timers Off: Fri Nov 26 01:59:38 2021

Wall Time:     6310.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     14.433u      0.017s      8.690w     18 calls
Libint2ERI::Libint2ERI              :     40.550u      0.017s     24.413w    153 calls
JK: (A|Q)^-1                        :     33.767u     21.983s     22.010w     18 calls
JK: (A|mn)                          :    334.550u      0.000s    201.291w     99 calls
JK: (Q|mn)                          :    418.383u      0.000s    251.687w     99 calls
JK: (Q|mn) Write                    :      0.317u     17.867s     11.101w     99 calls
HF: Form core H                     :     12.450u      0.050s      7.508w      9 calls
HF: Form S/X                        :      1.800u      0.017s      1.110w      9 calls
HF: Guess                           :      0.183u      0.000s      0.100w      9 calls
SAD Guess                           :      0.133u      0.000s      0.084w      1 calls
HF: Form G                          :    916.250u    111.717s    618.448w    136 calls
JK: D                               :      0.967u      0.017s      0.468w    280 calls
JK: USO2AO                          :      0.400u      0.050s      0.205w    280 calls
JK: JK                              :   3931.117u    249.467s   2515.240w    280 calls
JK: (Q|mn) Read                     :      2.517u    214.133s    130.000w   2076 calls
JK: J                               :    149.517u      0.383s     90.745w   2076 calls
JK: J1                              :     68.067u      0.017s     41.210w   2328 calls
JK: J2                              :     75.433u      0.033s     45.325w   2328 calls
JK: K                               :   3772.067u      0.133s   2269.008w   2076 calls
JK: K1                              :   2965.367u      0.050s   1783.692w   3336 calls
JK: K2                              :    805.767u      0.050s    484.812w   2328 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    280 calls
HF: Form F                          :      0.150u      0.017s      0.098w    136 calls
HF: Form D                          :      0.200u      0.000s      0.155w    136 calls
HF: DIIS                            :      9.300u      1.600s      6.641w    135 calls
DIISManager::add_entry              :      0.150u      0.200s      0.294w    127 calls
DIISManager::extrapolate            :      0.750u      1.367s      1.254w    127 calls
bMatrix setup                       :      0.150u      0.850s      0.582w    127 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.009w    127 calls
New vector                          :      0.600u      0.517s      0.663w    127 calls
HF: Form C                          :     24.933u      0.017s     15.025w    135 calls
DFMP2 Singles                       :      0.067u      0.000s      0.053w      9 calls
DFMP2 Aia                           :    288.567u      4.617s    194.245w      9 calls
DFMP2 (A|mn)                        :    236.783u      0.000s    142.392w     99 calls
DFMP2 (A|mn)C_mi                    :     22.933u      0.000s     13.771w     99 calls
DFMP2 (A|mi)C_na                    :     15.983u      0.000s      9.654w     99 calls
DFMP2 Aia Write                     :      0.000u      1.733s      1.052w     99 calls
DFMP2 iaB                           :     83.683u      8.633s     55.541w      9 calls
DFMP2 Metric                        :     16.483u      0.017s      9.935w      9 calls
DFMP2 Aia Read                      :      0.017u      1.183s      0.715w     18 calls
DFMP2 (ia|A)(A|Q)                   :     33.367u      0.000s     20.089w     18 calls
DFMP2 Bia Write                     :      0.033u      1.717s      1.041w     18 calls
DFMP2 Bia Read                      :      0.667u      8.533s      5.573w    522 calls
DFMP2 (ia|B)(B|Q)                   :     33.200u      0.000s     19.990w     18 calls
DFMP2 Cia Write                     :      0.017u      1.833s      1.123w     18 calls
DFMP2 aiB                           :      0.317u      4.317s      2.796w      9 calls
DFMP2 Tij                           :   1494.850u     18.267s    910.226w      9 calls
DFMP2 Cia Read                      :      0.183u      8.783s      5.363w    459 calls
DFMP2 I                             :   1136.717u      0.317s    683.963w    765 calls
DFMP2 T2                            :    214.400u      0.033s    129.014w    765 calls
DFMP2 G                             :    578.350u      0.017s    347.968w    441 calls
DFMP2 Pab                           :    237.167u      0.017s    142.681w    441 calls
DFMP2 Gia Write                     :      0.017u      1.767s      1.073w     63 calls
DFMP2 Tab                           :    709.700u      7.800s    431.648w      9 calls
DFMP2 Bai Read                      :      0.033u      1.150s      0.676w     54 calls
DFMP2 Qai Read                      :      0.600u      5.283s      3.576w    324 calls
